2009排名,2008排名,公司名称,国家/地区,营业收入百万美元,利润百万美元
355,378,Hyundai Heavy Industries,韩国,25003.8,2050.7
356,391,Chubu Electric Power,日本,24984.5,-188.8
357,396,Vattenfall,瑞典,24957.2,2592.8
358,304,Macy's,美国,24892.0,-4803.0
359,373,Shanghai Automotive,中国,24882.2,52.9
360,325,Alcatel-Lucent,法国,24859.2,-7633.1
361,382,International Paper,美国,24829.0,-1282.0
362,329,Hanwha,韩国,24782.1,266.5
363,380,State Bank of India,印度,24577.7,2380.8
364,432,Mediceo Paltac Holdings,日本,24522.5,124.5
365,420,Occidental Petroleum,美国,24480.0,6857.0
366,308,Travelers Cos.,美国,24477.0,2924.0
367,247,Samsung Life Insurance,韩国,24419.5,93.2
368,370,MAN Group,德国,24275.2,1804.7
369,323,Fujifilm Holdings,日本,24231.6,104.8
370,408,CFE,墨西哥,24196.1,-1750.5
371,372,Nippon Yusen,日本,24188.1,558.9
372,.,Sinosteel,中国,24163.6,155.9
373,360,Publix Super Markets,美国,24109.6,1089.8
374,353,Tech Data,美国,24080.5,123.6
375,.,Hebei Iron & Steel Group,中国,24033.7,129.7
376,362,Michelin,法国,24016.1,526.9
377,418,Energie Baden-Württemberg?,德国,23866.0,1276.0
378,332,Merck,美国,23850.3,7808.4
379,445,Migros,瑞士,23795.1,648.1
380,480,China Metallurgical Group,中国,23767.3,413.6
381,366,AMR,美国,23766.0,-2071.0
382,495,United States Steel,美国,23754.0,2112.0
383,368,Evonik Industries,德国,23717.6,417.2
384,307,Magna International,加拿大,23704.0,71.0
385,303,China FAW Group,中国,23664.4,555.8
386,.,Nucor,美国,23663.3,1831.0
387,431,Anheuser-Busch InBev,比利时,23568.3,1885.2
388,359,McDonald's,美国,23522.4,4313.2
389,390,Standard Chartered Group,英国,23438.0,3408.0
390,.,BG Group,英国,23396.1,5734.0
391,365,Edeka Zentrale,德国,23349.3,384.7
392,.,Heraeus Holding,德国,23292.4,243.7
393,376,Holcim,瑞士,23247.3,1646.7
394,463,Mapfre Group,西班牙,23185.9,1318.3
395,379,Raytheon,美国,23174.0,1672.0
396,.,Husky Energy,加拿大,23162.5,3520.2
397,439,Staples,美国,23083.8,805.3
398,209,Swiss Reinsurance,瑞士,23081.8,-798.4
399,428,Finmeccanica,意大利,23036.9,835.8
400,.,Metalúrgica Gerdau,巴西,22859.7,989.7
401,381,Wyeth,美国,22833.9,4417.8
402,335,Oil & Natural Gas,印度,22725.3,4302.0
403,441,Delta Air Lines,美国,22697.0,-8922.0
404,470,Cie Nationale à Portefeuille,比利时,22655.6,-255.2
405,161,Fannie Mae,美国,22652.0,-58707.0
406,455,Akzo Nobel,荷兰,22562.7,-1589.6
407,401,Compass Group,英国,22521.8,872.1
408,462,Oracle,美国,22430.0,5521.0
409,.,SeverStal,俄罗斯,22392.7,2034.0
410,448,Telstra,澳大利亚,22371.1,3303.5
411,437,Jardine Matheson,中国,22362.0,666.0
412,500,Fluor,美国,22325.9,720.5
413,423,Groupe Danone,法国,22277.3,1921.8
414,484,Galp Energia,葡萄牙,22230.4,171.3
415,.,Citic Group,中国,22229.1,2050.2
416,425,British American Tobacco,英国,22228.0,4505.4
417,345,Aisin Seiki,日本,22043.2,-250.3
418,457,Express Scripts,美国,22022.7,776.1
419,.,China United Telecommunications?,中国,21980.6,2840.5
420,357,Surgutneftegas,俄罗斯,21976.0,5785.2
421,389,Cemex,墨西哥,21820.2,204.4
422,403,Coca-Cola Enterprises,美国,21807.0,-4394.0
423,.,Google,美国,21795.6,4226.9
424,411,Skanska,瑞典,21791.1,470.5
425,.,China Huaneng Group,中国,21780.7,-512.6
426,.,Aviation Industry Corp. of China,中国,21737.5,568.4
427,374,Northwestern Mutual,美国,21734.4,483.2
428,.,China South Industries Group,中国,21675.4,296.9
429,451,Kobe Steel,日本,21672.8,-312.9
430,.,Hypo Real Estate Holding,德国,21630.3,-7993.2
431,421,Crédit Industriel & Commercial,法国,21582.0,248.8
432,413,Manpower,美国,21552.8,218.9
433,192,Tyco International,瑞士,21420.0,1553.0
434,486,Royal KPN,荷兰,21372.7,1949.6
435,427,Bristol-Myers Squibb,美国,21366.0,5247.0
436,363,Asustek Computer,中国台湾,21173.9,521.9
437,383,Sumitomo Electric Industries,日本,21122.3,171.6
438,.,Korea Gas,韩国,21075.8,300.9
439,314,Groupama,法国,21056.6,399.6
440,.,HeidelbergCement,德国,21041.3,2646.6
441,.,S-Oil,韩国,21019.9,406.0
442,491,Heineken Holding,荷兰,21005.3,153.7
443,.,Acciona,西班牙,20949.7,679.1
444,.,Jiangsu Shagang Group,中国,20896.9,483.9
445,438,Ricoh,日本,20820.8,65.0
446,447,Erste Group Bank,奥地利,20811.2,1258.2
447,424,Grupo Ferrovial,西班牙,20705.3,-1226.6
448,468,Henkel,德国,20683.3,1787.2
449,.,Mol Hungarian Oil & Gas,匈牙利,20644.3,821.3
450,.,Randstad Holding?,荷兰,20547.8,26.6
451,440,Fomento de Construcciones,西班牙,20515.4,493.6
452,.,Maruhan,日本,20464.6,213.2
453,305,Delphi,美国,20383.0,3037.0
454,.,Evraz Group,俄罗斯,20380.0,1868.0
455,453,Eli Lilly,美国,20378.0,-2071.9
456,473,Sodexo,法国,20377.0,562.9
457,.,EDP-Energias de Portugal,葡萄牙,20336.6,1598.2
458,450,Mitsui Sumitomo Insurance Group Holdings,日本,20306.4,81.5
459,422,UAL,美国,20194.0,-5348.0
460,434,Komatsu,日本,20124.5,784.3
461,.,Imperial Tobacco Group,英国,19915.2,842.6
462,.,Marquard & Bahls,德国,19851.1,118.7
463,364,Nationwide,美国,19848.0,-342.0
464,.,Gas Natural SDG,西班牙,19824.2,1547.1
465,399,Constellation Energy,美国,19818.3,-1314.4
466,.,Israel Corp.,以色列,19802.0,320.0
467,.,Caltex Australia,澳大利亚,19769.7,28.6
468,481,Bombardier,加拿大,19721.0,1008.0
469,487,DirecTV Group,美国,19693.0,1521.0
470,350,Mitsubishi Motors,日本,19645.0,-546.3
471,.,Doosan,韩国,19494.5,97.9
472,410,Goodyear Tire & Rubber,美国,19488.0,-77.0
473,488,Eiffage,法国,19462.6,440.6
474,435,Japan Airlines,日本,19421.9,-629.0
475,458,Kimberly-Clark,美国,19415.0,1690.0
476,.,Norddeutsche Landesbank,德国,19409.9,219.6
477,471,Skandinaviska Enskilda Banken,瑞典,19405.6,1522.9
478,.,Kajima,日本,19395.9,-62.7
479,454,Bank of Montreal,加拿大,19365.3,1928.0
480,.,AREVA,法国,19308.9,862.1
481,.,Neste Oil,芬兰,19298.7,142.0
482,.,Alfresa Holdings,日本,19259.8,55.4
483,417,U.S. Bancorp,美国,19229.0,2946.0
484,.,L'Air Liquide,法国,19178.8,1785.7
485,.,Amazon.com,美国,19166.0,645.0
486,452,TJX,美国,19147.5,880.6
487,474,Cigna,美国,19101.0,292.0
488,436,Whirlpool,美国,18907.0,418.0
489,444,Exelon,美国,18859.0,2737.0
490,.,Rexel,法国,18825.3,336.9
491,.,Shimizu,日本,18789.0,62.6
492,467,Premafin Finanziaria,意大利,18766.2,9.7
493,321,Massachusetts Mutual Life Insurance,美国,18744.6,-923.8
494,.,Bank of Communications,中国,18677.0,4085.4
495,475,Samsung C&T?,韩国,18635.2,314.5
496,.,Yamada Denki,日本,18632.3,330.5
497,.,Nike,美国,18627.0,1883.4
498,.,Kirin Holdings?,日本,18603.6,775.8
499,476,Aluminum Corp. of China,中国,18578.7,-744.0
500,494,Mitsui OSK Lines,日本,18572.3,1264.0
