排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
249,243,荷兰皇家阿霍德集团（ROYAL AHOLD),42204.9,1062.8,荷兰
250,241,德国大陆集团（CONTINENTAL),42070.2,2420.5,德国
251,251,江森自控有限公司（JOHNSON CONTROLS),41955.0,1226.0,美国
252,266,起亚汽车（KIA MOTORS),41945.8,3431.4,韩国
253,231,英国葛兰素史克公司（GLAXOSMITHKLINE),41885.5,7234.2,英国
254,290,高盛（GOLDMAN SACHS GROUP),41664.0,7475.0,美国
255,204,瑞士信贷（CREDIT SUISSE GROUP),41517.8,1439.0,瑞士
256,292,中国人民保险集团股份有限公司（PEOPLE'S INSURANCE CO. OF CHINA),40788.9,1082.8,中国
257,253,软银（SOFTBANK),40683.0,3485.1,日本
258,333,中国联合网络通信股份有限公司（CHINA UNITED NETWORK COMMUNICATIONS),40617.1,375.3,中国
259,287,CHS公司（CHS),40599.3,1260.6,美国
260,267,印度斯坦石油公司（HINDUSTAN PETROLEUM),39925.2,92.1,印度
261,268,雅培公司（ABBOTT LABORATORIES),39873.9,5962.9,美国
262,245,西尔斯控股（SEARS HOLDINGS),39854.0,-930.0,美国
263,215,瑞银集团（UBS),39769.4,-2678.5,瑞士
264,265,安海斯-布希英博（ANHEUSER-BUSCH INBEV),39758.0,7243.0,比利时
265,202,法国威立雅环境集团（VEOLIA ENVIRONNEMENT),39721.5,506.1,法国
266,275,怡和集团（JARDINE MATHESON),39593.0,1688.0,中国
267,270,杜邦公司（DUPONT),39528.0,2788.0,美国
268,273,瑞士ABB集团（ABB),39336.0,2704.0,瑞士
269,269,河北钢铁集团（HEBEI IRON & STEEL GROUP),39279.9,-182.3,中国
270,289,哈门那公司（HUMANA),39126.0,1222.0,美国
271,248,汉莎集团（LUFTHANSA GROUP),39031.9,1272.3,德国
272,313,全球燃料服务公司（WORLD FUEL SERVICES),38945.3,189.3,美国
273,298,中国铝业公司（ALUMINUM CORP. OF CHINA),38822.1,-786.3,中国
274,174,诺基亚（NOKIA),38780.0,-3991.6,芬兰
275,286,巴西JBS公司（JBS),38747.7,368.0,巴西
276,255,森科能源公司（SUNCOR ENERGY),38641.7,2784.9,加拿大
277,318,中国航空油料集团公司（CHINA NATIONAL AVIATION FUEL GROUP),38445.3,126.8,中国
278,256,日本钢铁工程控股公司（JFE HOLDINGS),38405.0,476.9,日本
279,278,美国阿美拉达赫斯公司（HESS),38373.0,2025.0,美国
280,303,哥伦比亚国家石油公司（ECOPETROL),38327.8,8227.0,哥伦比亚
281,244,意大利电信（TELECOM ITALIA),38298.1,-2090.9,意大利
282,282,加拿大皇家银行（ROYAL BANK OF CANADA),38224.4,7409.1,加拿大
283,276,普利司通（BRIDGESTONE),38092.2,2150.5,日本
284,288,英国森特理克集团（CENTRICA),37941.2,2017.3,英国
285,294,美国英格雷姆麦克罗公司（INGRAM MICRO),37827.3,305.9,美国
286,319,Plains All American Pipeline公司（PLAINS ALL AMERICAN PIPELINE),37797.0,1094.0,美国
287,284,霍尼韦尔国际公司（HONEYWELL INTERNATIONAL),37665.0,2926.0,美国
288,322,迪奥（CHRISTIAN DIOR),37655.5,1783.8,法国
289,257,法国维旺迪集团（VIVENDI),37261.0,210.8,法国
290,252,三菱化学控股（MITSUBISHI CHEMICAL HOLDINGS),37193.3,223.9,日本
291,291,澳新银行集团（AUSTRALIA & NEW ZEALAND BANKING GROUP),37175.0,5823.3,澳大利亚
292,349,中国铁路物资股份有限公司（CHINA RAILWAY MATERIALS),37172.1,86.3,中国
293,283,美国联合大陆控股有限公司（UNITED CONTINENTAL HOLDINGS),37152.0,-723.0,美国
294,300,甲骨文公司（ORACLE),37121.0,9981.0,美国
295,271,日本电气公司（NEC),36989.0,366.5,日本
296,312,美国利宝互助保险集团（LIBERTY MUTUAL INSURANCE GROUP),36944.0,829.0,美国
297,297,波兰国营石油公司（PKN ORLEN GROUP),36909.0,720.5,波兰
298,285,印度国家银行（STATE BANK OF INDIA),36863.3,3293.0,印度
299,341,中国国电集团公司（CHINA GUODIAN),36848.4,214.5,中国
300,302,森宝利（J. SAINSBURY),36800.0,969.6,英国
301,343,HCA公司（HCA HOLDINGS),36783.0,1605.0,美国
302,280,中国冶金科工集团有限公司（CHINA METALLURGICAL GROUP),36756.2,-806.0,中国
303,308,达美航空（DELTA AIR LINES),36670.0,1009.0,美国
304,327,安泰保险（AETNA),36595.9,1657.9,美国
305,337,台湾中油股份有限公司（CPC),36499.2,-1137.2,中国
306,247,住友商事（SUMITOMO),36322.3,2799.2,日本
307,348,迪尔公司（DEERE),36157.1,3064.7,美国
308,315,俄罗斯Sistema公司（SISTEMA),35442.3,946.8,俄罗斯
309,274,联合博姿（ALLIANCE BOOTS),35383.5,1116.5,瑞士
310,328,斯普林特Nextel公司（SPRINT NEXTEL),35345.0,-4326.0,美国
311,330,冀中能源集团（JIZHONG ENERGY GROUP),35319.9,59.3,中国
312,316,日本瑞穗金融集团（MIZUHO FINANCIAL GROUP),35079.0,6749.9,日本
313,170,亿滋国际（MONDELEZ INTERNATIONAL),35015.0,3028.0,美国
314,281,荷兰合作银行（RABOBANK GROUP),34934.9,1152.8,荷兰
315,351,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),34900.6,2435.3,中国
316,314,印度塔塔汽车公司（TATA MOTORS),34705.0,1818.3,印度
317,272,弗朗茨海涅尔公司（FRANZ HANIEL),34690.7,-2369.8,德国
318,346,江苏沙钢集团（JIANGSU SHAGANG GROUP),34557.9,94.5,中国
319,365,中国建筑材料集团有限公司（CHINA NATIONAL BUILDING MATERIALS GROUP),34462.2,471.3,中国
320,301,关西电力（KANSAI ELECTRIC POWER),34429.3,-2931.3,日本
321,279,广达电脑（QUANTA COMPUTER),34412.2,779.2,中国
322,295,首钢集团（SHOUGANG GROUP),34329.7,132.7,中国
323,296,美国超价商店公司（SUPERVALU),34327.0,-1466.0,美国
324,317,美国纽约人寿保险公司（NEW YORK LIFE INSURANCE),34308.6,1333.2,美国
325,306,日本NKSJ控股（NKSJ HOLDINGS),34238.7,525.3,日本
326,367,中国机械工业集团有限公司（SINOMACH),33952.3,715.7,中国
327,299,日本三菱重工业股份有限公司（MITSUBISHI HEAVY INDUSTRIES),33933.7,1172.1,日本
328,321,武汉钢铁(集团)公司（WUHAN IRON & STEEL),33882.3,32.4,中国
329,370,联想集团（LENOVO GROUP),33873.4,635.1,中国
330,310,Medipal控股公司（MEDIPAL HOLDINGS),33850.2,224.6,日本
331,344,美国运通公司（AMERICAN EXPRESS),33808.0,4482.0,美国
332,332,新闻集团（NEWS CORP.),33706.0,1179.0,美国
333,309,爱立信（L.M. ERICSSON),33644.4,853.0,瑞典
334,394,瑞士再保险股份有限公司（SWISS RE),33624.0,4201.0,瑞士
335,334,德国中央合作银行（DZ BANK),33599.7,888.0,德国
336,--,北京汽车集团（Beijing Automotive Group),33374.5,1074.4,中国
337,340,好事达（ALLSTATE),33315.0,2306.0,美国
338,345,泰森食品（TYSON FOODS),33278.0,583.0,美国
339,342,德国艾德卡公司（EDEKA ZENTRALE),33195.8,181.3,德国
340,324,法国航空－荷兰皇家航空集团（AIR FRANCE-KLM GROUP),32962.2,-1531.9,法国
341,335,加拿大鲍尔集团（POWER CORP. OF CANADA),32942.9,882.6,加拿大
342,457,万通互惠理财（MASSACHUSETTS MUTUAL LIFE INSURANCE),32872.2,1114.6,美国
343,416,天津市物资集团总公司（TEWOO GROUP),32864.0,114.3,中国
344,338,加拿大乔治威斯顿公司（GEORGE WESTON),32763.8,486.3,加拿大
345,329,科斯莫石油（COSMO OIL),32749.4,-1034.2,日本
346,--,英国耆卫保险公司（OLD MUTUAL),32700.6,1858.9,英国
347,307,荷兰皇家飞利浦公司（ROYAL PHILIPS),32579.3,290.4,荷兰
348,366,Tesoro公司（TESORO),32484.0,743.0,美国
349,320,法国邮政（LA POSTE),32455.9,615.6,法国
350,261,摩根士丹利（MORGAN STANLEY),32355.0,68.0,美国
351,347,东日本旅客铁道株式会社（EAST JAPAN RAILWAY),32174.7,2112.0,日本
352,323,美国教师退休基金会（TIAA-CREF),32156.0,2060.0,美国
353,376,西班牙天然气公司（GAS NATURAL FENOSA),32004.8,1851.9,西班牙
354,390,中国电力建设集团有限公司（POWER CHINA),31971.0,684.5,中国
355,402,中国化工集团公司（CHEMCHINA),31967.9,-186.7,中国
356,356,日本中部电力（CHUBU ELECTRIC POWER),31899.8,-387.3,日本
357,393,中粮集团有限公司（COFCO),31751.5,584.5,中国
358,198,俄罗斯秋明英国石油控股公司（TNK-BP INTERNATIONAL),31741.0,7584.0,俄罗斯
359,483,绿地控股集团有限公司（GREENLAND HOLDING GROUP),31738.7,1197.5,中国
360,325,斯特拉塔（XSTRATA),31618.0,1180.0,瑞士
361,339,通用动力（GENERAL DYNAMICS),31513.0,-332.0,美国
362,355,菲利普－莫里斯国际公司（PHILIP MORRIS INTERNATIONAL),31377.0,8800.0,美国
363,362,和记黄埔有限公司（HUTCHISON WHAMPOA),31338.9,3368.4,中国
