排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,股东权益百万美元,雇员人数
117,LUCENT TECHNOLOGIES,美国,"26,360.0",541.0,"23,811.0","3,387.0","134,000"
118,BT,英国,"26,293.6","2,801.5","38,995.4","18,061.6","124,700"
119,KONINKLIJKE AHOLD,荷兰,"25,920.5",478.7,"9,291.5","1,523.5","142,020"
120,DAIEI,日本,"25,882.2",9.9,"17,020.7",891.7,"100,000"
121,SAMSUNG,韩国,"25,803.8",15.7,"9,019.5",744.0,"12,307"
122,ITO-YOKADO,日本,"25,606.7",576.5,"15,626.5","7,427.5","102,617"
123,MITSUBISHI HEAVY INDUSTRIES,日本,"25,222.2",493.7,"35,483.9","10,265.1","66,730"
124,TELECOM ITALIA,意大利,"25,129.9","1,531.3","46,094.4","16,899.7","126,097"
125,INTEL,美国,"25,070.0","6,945.0","28,880.0","19,295.0","64,000"
126,NIPPON STEEL,日本,"25,062.7",48.4,"35,025.3","6,589.4","85,500"
127,ALLSTATE,美国,"24,949.0","3,105.0","80,918.0","15,610.0","51,400"
128,SBC COMMUNICATIONS,美国,"24,856.0","1,474.0","42,132.0","9,892.0","118,340"
129,CNP ASSURANCES,法国,"24,813.6",280.5,"95,291.1","2,337.4","2,438"
130,UNITED TECHNOLOGIES,美国,"24,713.0","1,072.0","16,719.0","4,073.0","180,100"
131,MÜNCHENER RÜCK,德国,"24,609.2",371.3,"93,157.9","3,282.2","18,021"
132,COMPAQ COMPUTER,美国,"24,584.0","1,855.0","14,631.0","9,429.0","37,004"
133,METROPOLITAN LIFE INSURANCE,美国,"24,374.0","1,203.0","201,907.0","14,007.0","44,979"
134,BANQUE NATIONALE DE PARIS,法国,"24,343.8","1,021.5","338,195.6","9,812.4","52,420"
135,THYSSEN,德国,"24,298.3","1,247.1","17,419.9","4,035.1","127,873"
136,HOME DEPOT,美国,"24,155.7","1,160.0","11,188.9","7,097.9","130,000"
137,VOLVO,瑞典,"24,035.1","1,355.9","20,575.2","7,614.3","72,900"
138,CONAGRA,美国,"24,002.1",615.0,"11,277.1","2,471.7","82,169"
139,BCE,加拿大,"23,973.8","-1,109.5","28,160.2","6,854.5","122,000"
140,RAO GAZPROM,俄罗斯,"23,947.7","3,938.4","107,555.2","73,447.9","362,200"
141,J.SAINSBURY,英国,"23,810.7",799.7,"15,280.0","6,886.4","114,042"
142,SAMSUNG ELECTRONICS,韩国,"23,809.9",-640.2,"18,868.9","2,670.5","84,100"
143,FORTIS,比利时/荷兰,"23,796.5","1,033.0","166,657.9","7,725.0","35,229"
144,MERCK,美国,"23,636.9","4,614.1","25,811.9","12,613.5","53,800"
145,BANKAMERICA CORP.,美国,"23,585.0","3,210.0","260,159.0","19,837.0","77,000"
146,GTE,美国,"23,260.0","2,793.6","42,141.7","8,037.6","114,359"
147,FUJI BANK,日本,"22,912.0","-2,813.0","413,296.2","11,821.8","14,615"
148,CANON,日本,"22,812.7",981.7,"22,011.1","8,452.5","78,767"
149,SANWA BANK,日本,"22,805.5","-1,485.6","427,077.4","13,723.2","19,745"
150,JOHNSON & JOHNSON,美国,"22,629.0","3,303.0","21,453.0","12,359.0","90,500"
151,MANNESMANN,德国,"22,553.5",282.1,"16,389.9","3,850.4","120,859"
152,SAFEWAY,美国,"22,483.8",557.4,"8,493.9","2,149.0","147,000"
153,WALT DISNEY,美国,"22,473.0","1,966.0","37,776.0","17,285.0","108,000"
154,UNITED PARCEL SERVICE,美国,"22,458.0",909.0,"15,912.0","6,087.0","331,000"
155,CRÉDIT LYONNAIS,法国,"22,420.5",181.1,"249,083.6","5,647.1","50,789"
156,LLOYDS TSB GROUP,英国,"22,313.1","3,825.1","260,163.4","10,291.0","82,580"
157,IRI,意大利,"22,231.6","2,867.7","65,250.7","7,025.8","126,933"
158,ENEL,意大利,"22,180.8","1,952.9","53,769.5","18,371.0","88,957"
159,L.M.ERICSSON,瑞典,"21,955.8","1,563.0","18,577.4","6,630.6","100,774"
160,COSTCO,美国,"21,874.4",312.2,"5,476.3","2,468.1","42,750"
161,WESTDRUTSCHE LANDESBANK,德国,"21,859.3",400.0,"335,771.8","7,401.9","29,827"
162,ROYAL & SUN ALLIANCE,英国,"21,844.6",950.1,"99,546.2","11,860.8","43,485"
163,NATIONSBANK CORP.,美国,"21,734.0","3,077.0","264,562.0","21,337.0","80,360"
164,ASAHI MUTUAL LIFE INSURANCE,日本,"21,678.2",577.1,"91,307.9","1,009.7","33,127"
165,KANSAI ELECTRIC POWER,日本,"21,665.5",629.9,"52,022.8","9,373.7","26,343"
166,DRESDNER BANK,德国,"21,533.6",957.8,"376,415.7","10,296.7","46,169"
167,NOVARTIS,瑞士,"21,494.2","3,592.3","35,533.3","18,374.8","87,239"
168,SAKURA BANK,日本,"21,292.3",-719.3,"398,649.3","12,948.8","17,420"
169,NATIONAL WESTMINSTER BANK,英国,"21,154.9","1,100.8","305,082.3","12,994.5","70,000"
170,BARCLAYS BANK,英国,"21,128.7","1,851.1","451,948.1","12,538.7","84,300"
171,USX,美国,"21,057.0",988.0,"17,284.0","5,400.0","40,894"
172,SUMITOMO BANK,日本,"21,007.9","-2,047.2","482,707.2","12,535.3","15,111"
173,BANK OF CHINA,中国,"20,927.4","1,126.1","305,446.3","22,478.2","198,487"
174,MCKESSON,美国,"20,857.3",154.9,"5,607.5","1,406.8","13,700"
175,JAPAN POSTAL SERVICE,日本,"20,741.0",837.2,"78,513.3","34,981.8","142,355"
176,BELLSOUTH,美国,"20,561.0","3,261.0","36,301.0","15,165.0","81,000"
177,EAST JAPAN RAILWAY,日本,"20,486.6",539.6,"55,356.1","5,739.9","77,653"
178,BANCO DO BRASIL,巴西,"20,310.2",532.4,"97,588.4","5,378.7","76,387"
179,ENRON,美国,"20,273.0",105.0,"23,422.0","5,618.0","15,555"
