排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
438,KINGFISHER,英国,"14,060.9",861.4,"14,851.5","9,282.4","58,712"
439,COUNTRYWIDE FINANCIAL,美国,"14,050.7","2,197.6","129,495.7","10,310.1","42,141"
440,DOMINION RESOURCES,美国,"13,980.0","1,249.0","45,446.0","11,426.0","16,500"
441,EUROHYPO,德国,"13,952.5",536.1,"308,445.1","7,808.7","2,734"
442,SAMSUNG,韩国,"13,919.2",71.6,"11,298.4","4,151.9","4,288"
443,SODEXHO ALLIANCE,法国,"13,899.8",221.3,"9,293.4","2,663.9","313,000"
444,ISUZU MOTORS,日本,"13,897.2",558.6,"10,682.2","1,481.5","19,600"
445,ELI LILLY,美国,"13,857.9","1,810.1","24,867.0","10,919.9","44,500"
446,SK NETWORKS,韩国,"13,844.3",392.2,"8,944.7",601.8,"3,340"
447,EASTMAN KODAK,美国,"13,829.0",556.0,"14,737.0","3,811.0","5,480"
448,CHINA FIRST AUTOMOTIVE WORKS,中国,"13,825.4",293.4,"12,430.9","1,976.1","138,049"
449,AREVA,法国,"13,816.9",532.3,"33,517.0","5,764.5","70,069"
450,SHIMIZU,日本,"13,811.2",190.7,"15,359.6","2,577.8","12,190"
451,QWEST COMMUNICATIONS,美国,"13,809.0","-1,794.0","24,324.0","-2,612.0","41,401"
452,PROGRESSIVE,美国,"13,782.1","1,648.7","17,184.3","5,155.4","27,085"
453,SEIKO EPSON,日本,"13,768.6",518.2,"12,133.3","4,421.0","85,647"
454,OIL & NATURAL GAS,印度,"13,751.7",319.5,"19,042.7","9,467.9","38,033"
455,ACCENTURE,美国,"13,673.6",690.8,"7,987.7","1,471.8","100,000"
456,ASAHI GLASS,日本,"13,647.8",724.0,"18,398.1","6,822.8","56,776"
457,ONEX,加拿大,"13,614.8",26.9,"9,856.1",189.5,"83,000"
458,NORDEA BANK,瑞典,"13,580.6","2,380.6","375,199.1","17,056.9","28,929"
459,OFFICE DEPOT,美国,"13,564.7",335.5,"6,767.4","3,223.0","47,000"
460,WESTLB,德国,"13,548.3","-1,441.8","344,960.0","5,204.1","7,154"
461,FUJI HEAVY INDUSTRIES,日本,"13,459.2",169.7,"12,691.2","4,404.9","26,989"
462,KOBE STEEL,日本,"13,433.8",477.2,"17,774.7","3,545.3","27,067"
463,NEXTEL COMMUNICATIONS,美国,"13,368.0","3,000.0","22,744.0","9,408.0","19,000"
464,KOMATSU,日本,"13,350.3",549.1,"13,547.6","4,460.9","33,008"
465,AFLAC,美国,"13,281.0","1,299.0","59,326.0","7,573.0","6,531"
466,OFFICEMAX,美国,"13,270.2",137.1,"7,543.0","2,610.5","33,200"
467,DAI NIPPON PRINTING,日本,"13,258.6",557.7,"14,959.9","9,423.5","34,939"
468,WHIRLPOOL,美国,"13,220.0",406.0,"8,181.0","1,606.0","68,000"
469,CHUBB,美国,"13,177.2","1,548.0","44,260.3","10,126.4","11,800"
470,HENKEL,德国,"13,173.9","2,157.9","17,857.4","6,236.1","49,947"
471,TOPPAN PRINTING,日本,"13,152.9",337.5,"13,869.3","7,182.5","32,724"
472,CENTRAL JAPAN RAILWAY,日本,"13,114.9",894.1,"49,639.5","7,951.1","23,326"
473,KYUSHU ELECTRIC POWER,日本,"13,107.8",830.8,"37,861.6","9,155.2","18,864"
474,HUMANA,美国,"13,104.3",280.0,"5,657.6","2,090.1","13,700"
475,OBAYASHI,日本,"13,069.7",233.3,"17,223.7","3,405.9","13,533"
476,FIRSTENERGY,美国,"12,949.0",878.2,"31,067.9","8,589.3","15,245"
477,WESTTPAC BANKING,澳大利亚,"19,243.3","1,845.2","177,520.5","8,665.3","27,013"
478,SOLECTRON,美国,"19,203.2",-168.9,"5,817.0","2,378.8","59,500"
479,SCHNEIDER ELECTRIC,法国,"12,892.0",102.2,"17,731.4","10,296.2","84,866"
480,DANSKE BANK GROUP,丹麦,"12,890.3","1,763.2","379,801.7","11,111.0","15,382"
481,CENTEX,美国,"12,859.7","1,011.4","20,011.1","4,280.8","17,134"
482,IBERDROLA,西班牙,"12,828.8","1,505.8","35,250.0","11,848.3","13,019"
483,ASAHI KASEI,日本,"12,819.0",525.3,"11,874.0","4,784.2","23,820"
484,WILLIAMS,美国,"12,814.7",163.7,"23,993.0","4,955.9","3,656"
485,THALES GROUP,法国,"12,796.3",246.8,"22,392.3","2,850.3","55,476"
486,SEKISUI HOUSE,日本,"12,719.5",219.3,"11,021.5","6,442.1","19,926"
487,DAIWA HOUSE INDUSTRY,日本,"12,709.4",374.6,"12,703.7","4,900.0","19,770"
488,CANADIAN IMPERIAL BANK OF COMMERCE,加拿大,"12,661.8","1,666.8","228,539.1","10,840.6","37,281"
489,SCOTTISH POWER,英国,"12,635.2",-568.4,"27,108.4","7,524.4","14,339"
490,AUSTRALIA & NEW ZEALAND BANKING,澳大利亚,"12,618.4","2,045.8","187,854.0","12,970.8","28,755"
491,TEXAS INSTRUMENTS,美国,"12,580.0","1,861.0","16,299.0","13,063.0","35,472"
492,CONSTELLATION ENERGY,美国,"12,549.4",539.7,"17,347.1","4,726.9","9,570"
493,WASTE MANAGEMENT,美国,"12,516.0",939.0,"20,905.0","5,971.0","51,000"
494,BANK OF NOVA SCOTIA,加拿大,"12,504.2","2,221.6","228,906.4","12,490.1","43,928"
495,TENET HEALTHCARE,美国,"12,496.0","-2,640.0","10,078.0","1,732.0","78,346"
496,YAMAHA MOTOR,日本,"12,471.5",568.8,"8,009.8","2,991.9","36,668"
497,HEINEKEN HOLDING,荷兰,"12,443.8",334.6,"14,160.4","2,297.1","49,467"
498,SVENSKA CELLULOSA,瑞典,"12,433.4",495.4,"17,613.4","7,529.6","49,919"
499,ENCANA,加拿大,"12,433.0","3,513.0","31,213.0","14,308.0","4,090"
500,MASCO,美国,"12,431.0",893.0,"12,541.0","5,423.0","62,000"
