排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
135,121,Groupe Auchan,法国,"42,073.20",1197.8,"26,155.8","175,584"
136,103,Tyco International,美国,"41,780.00",3032.0,"62,621.0","247,900"
137,118,Arcelor,卢森堡,"40,521.30",4778.9,"42,365.4","96,256"
138,144,Wells Fargo,美国,"40,407.00",7671.0,"481,741.0","153,500"
139,105,Albertson's,美国,"40,397.00",446.0,"17,871.0","234,000"
140,127,Microsoft,美国,"39,788.00",12254.0,"70,815.0","61,000"
141,119,Telecom Italia,意大利,"39,764.50",3996.1,"113,250.5","86,531"
142,112,AEON,日本,"39,480.60",257.8,"25,285.4","54,161"
143,122,GlaxoSmithKline,英国,"39,366.10",8752.9,"46,691.9","100,728"
144,141,Intel,美国,"38,826.00",8664.0,"48,314.0","99,900"
145,116,Royal Philips Electronics,荷兰,"38,579.10",3563.7,"39,941.4","159,226"
146,134,Safeway,美国,"38,416.00",561.1,"15,756.9","201,000"
147,217,Mitsubishi UFJ Financial Group,日本,"37,925.60",6807.2,"1,585,259.0","82,838"
148,137,Medco Health Solutions,美国,"37,870.90",602.0,"13,703.0","15,050"
149,136,Aegon,荷兰,"37,694.40",3394.7,"367,099.8","27,000"
150,135,Lockheed Martin,美国,"37,213.00",1825.0,"27,744.0","135,000"
151,161,CVS,美国,"37,006.20",1224.7,"15,283.4","114,000"
152,138,Motorola,美国,"36,843.00",4578.0,"35,649.0","69,000"
153,170,Indian Oil,印度,"36,537.00",1115.3,"17,982.0",0
154,150,Freddie Mac,美国,"36,526.00",2130.0,"806,222.0",500
155,148,Mitsui,日本,"36,349.30",1787.7,"72,662.8","40,993"
156,163,Caterpillar,美国,"36,339.00",2854.0,"47,069.0","85,116"
157,131,Archer Daniels Midland,美国,"35,943.80",1044.4,"18,598.1","25,641"
158,187,Wachovia Corp.,美国,"35,908.00",6643.0,"520,755.0","93,980"
159,321,Sanofi-Aventis,法国,"35,429.20",2805.7,"102,219.2","97,181"
160,143,Allstate,美国,"35,383.00",1765.0,"156,072.0","38,900"
161,189,A.P. Moller - Maersk Group,丹麦,"35,214.70",3349.8,"45,045.8","67,498"
162,140,BT,英国,"34,808.30",2759.5,"42,843.1","104,400"
163,124,Bayer,德国,"34,804.20",1984.4,"43,316.2","93,700"
164,-,Seven & I Holdings,日本,"34,717.30",783.6,"29,569.4","52,954"
165,192,Sprint Nextel,美国,"34,680.00",1785.0,"102,580.0","79,900"
166,158,Sumitomo Life Insurance,日本,"34,625.70",632.2,"190,308.7","49,446"
167,153,DZ Bank,德国,"34,554.50",523.1,"473,748.3","22,209"
168,157,Nippon Steel,日本,"34,501.80",3037.5,"38,500.9","46,143"
