排名,公司名称,国家,营业收入(百万美元),利润(百万美元),雇员人数
449,BRITISH AIRWAYS,英国,"16,501.80",548.5,"48,070"
450,BCE,加拿大,"16,483.00","1,768.90","54,434"
451,MIGROS,瑞士,"16,466.40",601.4,"79,194"
452,PACCAR,美国,"16,454.10","1,496.00","21,000"
453,ELETROLUX,瑞典,"16,382.10",521.5,"55,471"
454,FINMECCANICA,意大利,"16,348.10","1,239.60","58,059"
455,KOBE STEEL,日本,"16,332.20",937.6,"31,828"
456,FORMOSA PETROCHEMICAL,中国台湾,"16,281.80","1,367.40","3,854"
457,JARDINE MATHESON,中国香港,"16,281.00","1,348.00","240,000"
458,MARKS & SPENCER,英国,"16,267.50","1,248.10","52,670"
459,LENNAR,美国,"16,266.70",593.9,"12,605"
460,SOMPO JAPAN INSURANCE,日本,"16,257.90",529.6,"16,615"
461,CREDIT INDUSTRIEL & COMMERCIAL,法国,"16,254.00","1,598.40","23,012"
462,KOMATSU,日本,"16,187.30","1,407.60","33,863"
463,KAJIMA,日本,"16,171.30",354.3,"14,837"
464,WESTPAC BANKING,澳大利亚,"16,170.50","2,292.10","27,224"
465,ROYAL MAIL HOLDINGS,英国,"16,153.70",704.6,"208,866"
466,KINGFISHER,英国,"16,100.20",625,"69,929"
467,TOYOTA INDUSTRIES,日本,"16,059.50",508.4,"36,096"
468,CARSO GLOBAL TELECOM,墨西哥,"16,054.40","1,149.20","67,500"
469,CHINA NATIONAL OFFSHORE OIL,中国,"16,038.90","3,007.10","44,000"
470,TAISEI,日本,"16,016.20",224.2,"16,052"
471,HENKEL,德国,"15,984.30","1,072.70","51,716"
472,NESTE OIL,芬兰,"15,976.70",791.7,"4,545"
473,DUKE ENERGY,美国,"15,967.00","1,863.00","25,600"
474,NIPPON EXPRESS,日本,"15,955.80",283.9,"67,773"
475,GAP,美国,"15,943.00",778,"154,000"
476,BANK OF MONTREAL,加拿大,"15,935.90","2,337.80","34,942"
477,XEROX,美国,"15,895.00","1,210.00","53,700"
478,ANHEUSER-BUSCH,美国,"15,717.10","1,965.20","30,183"
479,UNITED STATES STEEL,美国,"15,715.00","1,374.00","44,000"
480,FPL GROUP,美国,"15,710.00","1,281.00","13,160"
481,ELI LILLY,美国,"15,691.00","2,662.70","41,500"
482,ALTADIS,西班牙,"15,687.40",567.9,"28,103"
483,SODEXHO ALLIANCE,法国,"15,683.00",395.8,"332,096"
484,EXELON,美国,"15,654.00","1,592.00","17,200"
485,LINDE GROUP,德国,"15,606.60","2,306.00","55,445"
486,UNION PACIFIC,美国,"15,578.00","1,606.00","50,739"
487,KOHL'S,美国,"15,544.20","1,108.70","86,500"
488,CHINA OCEAN SHIPPING,中国,"15,413.50","1,092.90","79,161"
489,SUMITOMO CHEMICAL,日本,"15,304.00",802.5,"24,691"
490,BANK OF IRELAND GROUP,爱尔兰,"15,296.80","2,117.10","15,952"
491,S-OIL,韩国,"15,246.10",794.5,"2,348"
492,CAPITAL ONE FINANCIAL,美国,"15,191.00","2,414.50","31,800"
493,HERAEUS HOLDING,德国,"15,155.60",212.5,"11,275"
494,ROYAL KPN,荷兰,"15,127.30","1,986.10","25,976"
495,STATE BANK OF INDIA,印度,"15,119.40","1,407.30","185,388"
496,D.R. HORTON,美国,"15,051.30","1,233.30","8,722"
497,OFFICE DEPOT,美国,"15,010.80",516.1,"39,000"
498,BURLINGTON NORTHERN SANTA FE,美国,"14,985.00","1,887.00","41,000"
499,NIKE,美国,"14,954.90","1,392.00","28,000"
500,BOMBARDIER,加拿大,"14,880.00",268,"56,000"
